Name,Website,Category,Type,Tier,Investments,logo_url
ACE Advisory,https://aceadvisory.biz/,Ecosystem Support,Local,1,,
Acumen,http://www.acumen.org/,Ecosystem Support,Local,1,,https://acumen.org/app/uploads/2021/03/Acumen.png
BetterStories,https://www.betterstories.limited/,Ecosystem Support,Local,2,,
EDGE Research,https://edgernc.com/,Ecosystem Support,Local,1,,https://edgernc.com/contents/website/images/logo.png
EMK Center,https://www.emkcenter.org,Ecosystem Support,Local,1,,
Global Entrepreneurship Network (GEN),https://www.genglobal.org/bangladesh,Ecosystem Support,Local,1,,https://www.genglobal.org/themes/gen/logo.svg
Innovision Consulting,https://innovision-bd.com/,Ecosystem Support,Local,1,,https://innovision-bd.com/wp-content/uploads/2022/03/cropped-Innovision-Logo-website-default-1.png
LightCastle Partners,https://lightcastlepartners.com/,Ecosystem Support,Local,1,,https://lightcastlepartners.com/wp-content/uploads/2024/09/LCP-Logo-Website-12.png
Startup Chattogram,https://startupchattogram.com,Ecosystem Support,Local,2,,
Startup Rajshahi,,Ecosystem Support,Local,1,,
Build Bangladesh,https://buildbangladesh.com.bd/,Ecosystem Support,Local,1,,
The Legal Circle,https://www.legalcirclebd.com,Ecosystem Support,Local,1,,https://legalcirclebd.com/wp-content/uploads/2021/02/final-logo.png
Venture Capital and Private Equity Association of Bangladesh (VCPEAB),https://vcpeab.org.bd,Ecosystem Support,Local,2,,
YGAP,https://ygap.org,Ecosystem Support,,1,,https://ygap.org/wp-content/uploads/2025/07/ygap-Logo-Green-195-x-100-px.png
ADB,https://www.adb.org/,DFIs FIs & DOs,Global,1,,https://www.adb.org/themes/custom/adb_2022/img/adb.svg
Development for International Development (DFID),https://www.gov.uk/world/organisations/dfid-bangladesh,DFIs FIs & DOs,Global,,,
Embassy of Switzerland in Bangladesh,https://www.eda.admin.ch/dhaka,DFIs FIs & DOs,Global,,,https://www.eda.admin.ch/etc.clientlibs/eda/base/clientlibs/publish/resources/topimages/logo_ch_print.png
ILO,https://www.ilo.org,DFIs FIs & DOs,Global,1,,https://www.ilo.org/themes/custom/ilo/node_modules/@ilo-org/brand-assets/dist/assets/logo_en_horizontal_blue.svg
International Finance Corporation (IFC),http://www.ifc.org,DFIs FIs & DOs,Global,1,,https://www.ifc.org/content/dam/ifc/corporate/logo/IFC-Logo.svg
JICA,https://www.jica.go.jp/english/,DFIs FIs & DOs,Global,1,,https://www.jica.go.jp/english/assets/img/logo-en.png
United Nations Capital Development Fund (UNCDF),https://www.uncdf.org/bangladesh,DFIs FIs & DOs,Global,,,https://upload.wikimedia.org/wikipedia/commons/1/12/UNCDF_logo.svg
GAIN,https://www.gainhealth.org,DFIs FIs & DOs,Global,1,,https://www.gainhealth.org/themes/gain/img//logo-gain-health.svg
Oxfam,https://bangladesh.oxfam.org,DFIs FIs & DOs,Global,1,,https://seeklogo.com/images/O/oxfam-logo-1D070178A0-seeklogo.com.png
Practical Action,https://practicalaction.org,DFIs FIs & DOs,Global,1,,https://practicalaction.org/wp-content/uploads/2018/12/PA-logo-650x650.jpg
UN Women,https://bangladesh.unwomen.org,DFIs FIs & DOs,Global,,,https://asiapacific.unwomen.org/sites/default/files/2023-12/UN-Women-logo-blue-en.png?t=1733926176
UNDP,https://www.undp.org/bangladesh,DFIs FIs & DOs,Global,,,https://upload.wikimedia.org/wikipedia/commons/5/58/UNDP_logo.svg
UNICEF,https://www.unicef.org/bangladesh,DFIs FIs & DOs,Global,,,https://upload.wikimedia.org/wikipedia/commons/8/87/UNICEF_Logo.png
USAID,https://www.usaid.gov/bangladesh,DFIs FIs & DOs,Global,1,,https://upload.wikimedia.org/wikipedia/commons/f/fe/USAID-Identity.svg
WFP,https://www.wfp.org/countries/bangladesh,DFIs FIs & DOs,Global,1,,https://upload.wikimedia.org/wikipedia/commons/d/d4/World_Food_Programme_Logo_Simple.svg
World Bank,https://www.worldbank.org/en/country/bangladesh,DFIs FIs & DOs,Global,,,https://www.worldbank.org/ext/en/media_1b9d836624bdfd028dfbe9f018f3f12e52326504c.svg?width=750&format=svg&optimize=medium
World Fish,https://www.worldfishcenter.org,DFIs FIs & DOs,Global,,,https://www.worldfishcenter.org/sites/default/files/WF%2050%20Year.png
FMO,,DFIs FIs & DOs,Global,2,,https://iconape.com/wp-content/files/sz/372399/svg/372399.svg
EDGE AMC,https://www.edgeamc.com/,DFIs FIs & DOs,Local,1,Investor in Brain Station 23 Chaldal and IM,https://www.edgeamc.com/contents/website/images/logo.png
SAJIDA Foundation,https://www.sajida.org/,DFIs FIs & DOs,Local,1,,https://www.sajida.org/_nuxt/img/logo.c24923f.svg
WAVE Foundation,https://wavefoundationbd.org,DFIs FIs & DOs,,1,,https://i0.wp.com/wavefoundationbd.org/wp-content/uploads/2022/06/wave_logo.png?fit=898%2C254&ssl=1
Ant Group,https://www.antgroup.com,Corporate Venture,Global,1,,https://seeklogo.com/images/A/ant-group-logo-C6F85DBEDF-seeklogo.com.png
Believe,https://believe.sg/,Corporate Venture,Global,1,,https://believe.sg/wp-content/uploads/elementor/thumbs/Believe-logo-01-pes9x1wv120rzvuuvgxd6dhwklrf7a6fht19ixgpvk.png
Ecom Express,https://www.ecomexpress.in/,Corporate Venture,Global,1,,https://ecomexpress.in/assets/images/logo.png
Gojek,https://www.gojek.io,Corporate Venture,Global,1,,https://www.gojek.io/img/GojekLogo-white.svg
Skycatcher,http://www.skycatcher.xyz,Corporate Venture,Global,1,Investor in Pathao and Databird,https://www.skycatcher.xyz/images/logo-black.svg
DSM,https://www.dsm-firmenich.com/en/home.html,Corporate Venture,Global,1,Investor in Frontier Nutrition,https://www.dsm-firmenich.com/content/dam/dsm-firmenich/logos/logo-white.svg
ACI,http://www.aci-bd.com,Corporate Venture,Local,1,,https://www.aci-bd.com/assets/images/footer/logo.png
ADN Telecom,https://www.adntel.com.bd/,Corporate Venture,Local,1,Shohoz,https://api.adntel.com.bd/assets/images/logo.svg
Anwar Group,https://www.anwargroup.com,Corporate Venture,Local,1,,https://www.anwargroup.com/assets/img/logo2.png
BSRM,https://bsrm.com/,Corporate Venture,Local,1,Investor in Sheba,https://bsrm.com/assets/images/logo.png
Dekko Isho Ventures,https://di.vc/,Corporate Venture,Local,1,,
Edison Group,https://edison-bd.com,Corporate Venture,Local,1,,https://edison-bd.com/images/logo.svg
Epyllion Group,http://www.epylliongroup.com,Corporate Venture,Local,1,,https://www.epylliongroup.com/images/logo.png
Mir Group,https://www.mirgroupbd.com,Corporate Venture,Local,1,,
Omicon,http://www.omicongroup.com or https://omiconltd.com,Corporate Venture,Local,1,,https://omiconltd.com/assets/img/logo.png
Paragon,,Corporate Venture,Local,1,,
SELISE Digital Platforms,https://selise.ch,Corporate Venture,Local,1,,https://selisegroup.com/wp-content/uploads/2025/07/SELISE_digital_platforms_white.svg
Transcom,https://transcomdigital.com,Corporate Venture,Local,1,,https://seeklogo.com/images/T/transcom-electronics-logo-84F0C2B91E-seeklogo.com.png
Syngenta Foundation Bangladesh,https://www.syngentafoundation.org/,Corporate Venture,Local,1,,https://www.syngentagroup.com/themes/custom/themekit/logo.svg
Akota Coworking,https://akota.co,Co-Working,Local,1,,https://akota.co/wp-content/themes/akota/Assets/Images/Akota.png
Bonik Co-working,https://bonik.biz,Co-Working,Local,1,,https://bonik.biz/wp-content/uploads/2020/10/logo.png
Colab Dhaka,,Co-Working,Local,1,,
CoSpace Dhaka,https://cospacebd.com,Co-Working,Local,1,,
CoStation,,Co-Working,Local,1,,
Funush Shared Space,,Co-Working,Local,1,,
Greenhub Coworking,https://greenhubworkspace.com/,Co-Working,Local,1,,https://greenhubworkspace.com/cdn/shop/files/Transparent-PNG-file.png?v=1719926694
HubDhaka,https://www.hubdhaka.com,Co-Working,Local,1,,https://www.hubdhaka.com/uploads/4/8/5/3/48530213/1426087744.png
Impact Hub,https://dhaka.impacthub.net,Co-Working,Local,1,,https://impacthubdhaka.s3.amazonaws.com/ihd-website/IHD%20Logo.png
inHouse,,Co-Working,Local,1,,
Ink studio,,Co-Working,Local,3,,
Locus,http://www.locusbd.com,Co-Working,Local,3,,https://www.locusbd.com/wp-content/uploads/2020/10/cropped-Locus_Logo_white_150px.png
Moar,https://moarbd.com,Co-Working,Local,3,,https://moarbd.com/cdn/shop/files/Moar_Logo.png?v=1704632033&width=400
OPEN Co-Working,,Co-Working,Local,3,,
Profficio,,Co-Working,Local,3,,https://profficio.net/wp-content/uploads/2019/12/logo_website.png
Regus Space,https://www.regus.com.bd,Co-Working,Local,1,,https://www.regus.com/icons/media/regus/regusLogo.svg
The Business Center,https://thebusinesscenterbd.com,Co-Working,Local,1,,https://thebusinesscenterbd.com/wp-content/uploads/2018/09/logo2-updated2-1.png
Vista Co-working,,Co-Working,Local,1,,
WorkStation 101,,Co-Working,Local,1,,https://workstation101.com/workstation101.com/wp-content/uploads/2023/04/cropped-logo.png
CrossFund,http://www.crossfund.com,Angel Syndicate & Network,Global,1,,
Greenbridge Capital,http://www.greenbridgecapital.co.za/,Angel Syndicate & Network,Global,1,Investor in Hypescout,
Doha Tech Angels,https://dta.qa/,Angel Syndicate & Network,Global,1,Jatri Medeasy,https://dta.qa/wp-content/uploads/2024/07/logo-color.svg
Falcon Network,https://falconnetwork.org/site/op/alpha/#vision,Angel Syndicate & Network,Global,1,Aroggo iFarmer Jatri Truck Lagbe,
Xffirmers,http://xffirmers.com/,Angel Syndicate & Network,Global,2,Chaldal Pathao,
Epic Angels,https://www.epicangelnetwork.com/,Angel Syndicate & Network,Global,1,Investor in Arogga,https://assets.softr-files.com/applications/9beeb423-61e5-46f8-8549-9558670780cc/assets/3b8e26a2-f287-43be-ad5c-7c3234b84997.png
B/deshi Invest,https://www.bdeshi.org/invest,Angel Syndicate & Network,Local,1,,https://cdn.prod.website-files.com/66c5ae2691a817b27325b53e/66c5c0fe37172cd7a772c422_White%20logo%20on%20black%201.svg
Bangladesh Angels Network,https://www.bdangels.co/,Angel Syndicate & Network,Local,1,,https://bdangels.co/logo.webp
Grassroots Global,,Angel Syndicate & Network,,,,
Lendable,,Angel Syndicate & Network,,,,
Huawei ICT Incubator,,Angel Syndicate & Network,,,,
One to Watch,,Angel Syndicate & Network,,,,
SNV,,Angel Syndicate & Network,,,,
The Attention Network,,Angel Syndicate & Network,Local,1,,
Patrons Venture,https://www.patrons.ltd/,Angel Syndicate & Network,Local,2,,
